City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Cap Malheureux,MU,2021-01-29 15:36:34,-19.9842,57.6142,81.0,78,0,3.0
98,Nuuk,GL,2021-01-29 15:36:34,64.1835,-51.7216,28.4,80,20,9.22
99,Nanakuli,US,2021-01-29 15:36:34,21.3906,-158.1547,71.01,78,20,3.44
100,Starkville,US,2021-01-29 15:36:34,33.4504,-88.8184,39.0,65,1,4.61
101,Vila Velha,BR,2021-01-29 15:36:34,-20.3297,-40.2925,91.4,49,20,17.27
102,Clyde River,CA,2021-01-29 15:36:34,70.4692,-68.5914,-13.0,84,1,2.3
103,Tuktoyaktuk,CA,2021-01-29 15:36:34,69.4541,-133.0374,-32.8,68,1,8.05
104,Hilo,US,2021-01-29 15:34:45,19.7297,-155.09,66.2,88,90,4.61
105,Acajutla,SV,2021-01-29 15:33:28,13.5928,-89.8275,75.2,53,0,5.75
106,Chokurdakh,RU,2021-01-29 15:36:35,70.6333,147.9167,-22.09,87,100,7.99
107,Veinticinco De Mayo,AR,2021-01-29 15:36:35,-35.4323,-60.1727,86.0,63,3,4.0
108,Tilichiki,RU,2021-01-29 15:36:36,60.4667,166.1,-4.27,93,99,9.17
109,Puerto Ayora,EC,2021-01-29 15:36:36,-0.7393,-90.3518,81.0,83,75,6.91
110,Lagoa,PT,2021-01-29 15:36:36,39.05,-27.9833,59.09,71,76,19.55
111,Braco Do Norte,BR,2021-01-29 15:36:36,-28.275,-49.1656,92.79,43,100,5.12
112,Dunedin,NZ,2021-01-29 15:32:19,-45.8742,170.5036,50.0,76,18,3.0
113,Sitka,US,2021-01-29 15:36:36,57.0531,-135.33,35.6,51,90,21.85
114,Chekmagush,RU,2021-01-29 15:36:37,55.1319,54.6556,24.53,95,100,10.54
115,Balugaon,IN,2021-01-29 15:36:06,20.1667,85.1,68.61,74,6,3.53
116,Saldanha,ZA,2021-01-29 15:36:37,-33.0117,17.9442,67.71,77,0,17.92
117,Tuatapere,NZ,2021-01-29 15:36:37,-46.1333,167.6833,48.0,80,32,8.01
118,Cuenca,EC,2021-01-29 15:34:19,-2.8833,-78.9833,62.6,77,75,4.61
119,Lac Du Bonnet,CA,2021-01-29 15:36:37,50.2536,-96.0612,5.0,100,100,8.99
120,Shediac,CA,2021-01-29 15:36:37,46.2198,-64.5411,25.0,74,90,19.57
121,Kavieng,PG,2021-01-29 15:36:37,-2.5744,150.7967,83.14,79,59,13.42
122,Los Angeles,US,2021-01-29 15:36:04,34.0522,-118.2437,53.6,81,75,2.04
123,Busselton,AU,2021-01-29 15:36:38,-33.65,115.3333,64.99,80,0,3.0
124,Nogliki,RU,2021-01-29 15:36:38,51.8333,143.1667,3.25,93,100,16.35
125,Talnakh,RU,2021-01-29 15:36:38,69.4865,88.3972,-31.13,69,0,1.34
126,Manuk Mangkaw,PH,2021-01-29 15:36:38,4.8,119.85,81.46,78,33,17.52
127,Half Moon Bay,US,2021-01-29 15:36:38,37.4636,-122.4286,44.01,100,40,3.33
128,Ayan,RU,2021-01-29 15:36:38,56.45,138.1667,-7.73,85,100,2.64
129,Ishigaki,JP,2021-01-29 15:36:39,24.3448,124.1572,59.67,71,99,17.54
130,Puerto Penasco,MX,2021-01-29 15:36:39,31.3167,-113.5333,60.01,76,75,12.66
131,Mecca,SA,2021-01-29 15:36:39,21.4267,39.8261,73.94,46,5,13.27
132,Tigil,RU,2021-01-29 15:36:39,57.8,158.6667,-11.51,90,100,4.34
133,Sechura,PE,2021-01-29 15:36:39,-5.5569,-80.8222,79.88,58,78,7.78
134,Baturaja,ID,2021-01-29 15:33:50,-4.1333,104.1667,74.25,91,100,4.43
135,Portland,US,2021-01-29 15:34:05,45.5234,-122.6762,41.0,87,90,2.13
136,Longyearbyen,SJ,2021-01-29 15:36:40,78.2186,15.6401,-2.2,50,20,18.41
137,Esperance,AU,2021-01-29 15:36:40,-33.8667,121.9,59.0,82,0,8.05
138,Ternate,ID,2021-01-29 15:36:40,0.8,127.4,80.13,81,100,8.12
139,Dergachi,RU,2021-01-29 15:36:40,51.2328,48.7659,25.83,98,100,3.04
140,Goderich,CA,2021-01-29 15:36:41,43.7501,-81.7165,24.8,74,100,11.5
141,Khatanga,RU,2021-01-29 15:36:41,71.9667,102.5,-47.65,73,0,1.61
142,Vung Tau,VN,2021-01-29 15:36:41,10.346,107.0843,75.38,76,66,18.77
143,New Norfolk,AU,2021-01-29 15:36:41,-42.7826,147.0587,62.01,84,75,1.7
144,Ponta Do Sol,PT,2021-01-29 15:36:41,32.6667,-17.1,61.0,72,0,5.01
145,Camacha,PT,2021-01-29 15:36:42,33.0833,-16.3333,64.4,77,40,3.44
146,Maldonado,UY,2021-01-29 15:31:49,-34.6667,-54.9167,78.01,61,90,3.44
147,Airai,TL,2021-01-29 15:36:42,-8.9266,125.4092,61.65,100,100,4.05
148,Celestun,MX,2021-01-29 15:36:42,20.8667,-90.4,72.7,68,81,12.06
149,Alta Floresta,BR,2021-01-29 15:33:12,-9.8756,-56.0861,86.0,70,75,4.61
150,Huarmey,PE,2021-01-29 15:36:42,-10.0681,-78.1522,76.32,62,52,10.58
151,Beringovskiy,RU,2021-01-29 15:36:43,63.05,179.3167,-11.61,85,97,12.17
152,Barrow,US,2021-01-29 15:36:43,71.2906,-156.7887,-16.6,76,1,10.36
153,Chilliwack,CA,2021-01-29 15:36:40,49.1747,-121.9443,35.6,64,73,19.57
154,Saint Anthony,US,2021-01-29 15:36:43,45.0205,-93.218,19.4,73,90,4.61
155,San Cristobal,VE,2021-01-29 15:36:43,7.7669,-72.225,82.4,61,20,5.75
156,Manoharpur,IN,2021-01-29 15:36:43,27.3,75.95,60.8,25,0,3.44
157,Hobart,AU,2021-01-29 15:36:44,-42.8794,147.3294,62.6,88,90,4.59
158,Cherskiy,RU,2021-01-29 15:36:44,68.75,161.3,-30.21,84,96,4.47
159,Quang Ngai,VN,2021-01-29 15:36:44,15.1167,108.8,66.16,87,58,2.77
160,Naze,JP,2021-01-29 15:36:44,28.3667,129.4833,49.17,73,75,14.7
161,Kaabong,UG,2021-01-29 15:36:44,3.4836,34.1492,77.67,32,0,13.11
162,Lavrentiya,RU,2021-01-29 15:36:44,65.5833,-171.0,-16.56,82,71,13.38
163,Vaitape,PF,2021-01-29 15:36:45,-16.5167,-151.75,80.8,64,24,7.2
164,Avarua,CK,2021-01-29 15:36:45,-21.2078,-159.775,77.0,88,46,5.75
165,Caravelas,BR,2021-01-29 15:36:45,-17.7125,-39.2481,86.65,53,0,10.54
166,Oksfjord,NO,2021-01-29 15:36:45,70.2396,22.3479,19.4,79,40,20.71
167,Aswan,EG,2021-01-29 15:36:45,24.0934,32.907,63.39,30,0,11.25
168,Jiuquan,CN,2021-01-29 15:36:45,39.7432,98.5174,20.86,75,0,4.72
169,Vlad Tepes,RO,2021-01-29 15:36:45,44.35,27.0833,39.0,64,86,5.01
170,Bowen,AU,2021-01-29 15:36:46,-20.0167,148.2333,73.4,94,40,8.05
171,Kashi,CN,2021-01-29 15:36:46,39.4547,75.9797,26.6,54,0,4.47
172,Avera,US,2021-01-29 15:36:46,33.194,-82.5271,39.2,48,1,5.75
173,Broome,US,2021-01-29 15:36:46,42.2506,-75.833,12.99,72,90,17.27
174,Tessalit,ML,2021-01-29 15:36:46,20.1986,1.0114,83.8,11,0,11.99
175,Sambava,MG,2021-01-29 15:36:46,-14.2667,50.1667,79.66,81,100,2.04
176,Tongliao,CN,2021-01-29 15:36:47,43.6125,122.2653,0.77,92,39,10.07
177,Zhangye,CN,2021-01-29 15:36:47,38.9342,100.4517,20.82,76,29,3.02
178,Mount Isa,AU,2021-01-29 15:36:47,-20.7333,139.5,87.8,45,98,11.32
179,Narsaq,GL,2021-01-29 15:36:47,60.9167,-46.05,44.6,29,75,37.98
180,Sembakung,ID,2021-01-29 15:36:47,3.8167,117.25,78.8,94,75,4.61
181,Gold Coast,AU,2021-01-29 15:36:47,-28.0,153.4333,77.0,73,75,10.36
182,Dothan,US,2021-01-29 15:36:47,31.2232,-85.3905,44.01,60,1,8.05
183,Diego De Almagro,CL,2021-01-29 15:36:48,-26.3667,-70.05,82.15,17,0,8.79
184,Namatanai,PG,2021-01-29 15:36:48,-3.6667,152.4333,81.25,81,17,9.4
185,Port Shepstone,ZA,2021-01-29 15:36:48,-30.7414,30.455,76.33,83,15,11.88
186,Tshane,BW,2021-01-29 15:36:48,-24.0196,21.8684,86.5,37,82,11.03
187,Kasongo,CD,2021-01-29 15:36:49,-4.45,26.6667,75.74,87,44,1.21
188,Meulaboh,ID,2021-01-29 15:36:49,4.1363,96.1285,78.26,82,99,3.65
189,Bonavista,CA,2021-01-29 15:36:49,48.6499,-53.1147,27.0,86,99,2.3
190,Lebu,CL,2021-01-29 15:36:49,-37.6167,-73.65,58.98,97,98,2.33
191,Bengkulu,ID,2021-01-29 15:36:49,-3.8004,102.2655,75.78,88,100,4.63
192,Leua,SK,2021-01-29 15:36:49,48.2156,18.6071,42.01,98,100,2.01
193,Bethel,US,2021-01-29 15:36:49,41.3712,-73.414,10.4,67,90,17.27
194,Fukue,JP,2021-01-29 15:36:50,32.6881,128.8419,42.89,62,2,15.7
195,Anderson,US,2021-01-29 15:35:51,34.5334,-82.6499,42.01,48,1,3.44
196,Biak,ID,2021-01-29 15:36:50,-0.9131,122.8766,76.82,72,83,5.64
197,Novoagansk,RU,2021-01-29 15:36:50,61.9449,76.6625,-33.05,82,0,7.36
198,Pauini,BR,2021-01-29 15:36:50,-7.7136,-66.9764,75.52,96,99,0.76
199,Vanavara,RU,2021-01-29 15:36:51,60.34,102.2797,-38.15,80,47,7.07
200,Conakry,GN,2021-01-29 15:35:37,9.538,-13.6773,81.5,68,0,13.29
201,New Philadelphia,US,2021-01-29 15:36:51,40.4898,-81.4457,24.01,58,75,5.75
202,Praia,CV,2021-01-29 15:36:51,14.9215,-23.5087,80.6,47,100,20.71
203,Neuquen,AR,2021-01-29 15:32:43,-38.9516,-68.0591,64.4,82,90,5.75
204,Viedma,AR,2021-01-29 15:36:51,-40.8135,-62.9967,73.0,43,45,22.84
205,Makakilo City,US,2021-01-29 15:36:52,21.3469,-158.0858,71.6,78,20,3.44
206,Quatre Cocos,MU,2021-01-29 15:36:52,-20.2078,57.7625,82.4,74,40,11.5
207,Anadyr,RU,2021-01-29 15:36:52,64.75,177.4833,-16.01,76,0,2.24
208,Yaan,NG,2021-01-29 15:36:52,7.3833,8.5667,99.54,8,7,9.13
209,New Glasgow,CA,2021-01-29 15:36:52,45.5834,-62.6486,24.8,86,100,18.41
210,Kieta,PG,2021-01-29 15:36:52,-6.2167,155.6333,80.08,82,75,9.89
211,Belomorsk,RU,2021-01-29 15:36:52,64.5232,34.7668,18.32,97,100,10.94
212,Mfou,CM,2021-01-29 15:36:53,3.7159,11.6427,89.6,31,20,8.05
213,Nioro,GM,2021-01-29 15:36:53,13.35,-15.75,100.98,7,98,6.64
214,Upernavik,GL,2021-01-29 15:36:53,72.7868,-56.1549,-9.51,79,18,12.33
215,Pevek,RU,2021-01-29 15:36:53,69.7008,170.3133,-27.56,86,6,3.91
216,Fort Nelson,CA,2021-01-29 15:36:53,58.8053,-122.7002,-18.4,76,40,2.3
217,Cabo San Lucas,MX,2021-01-29 15:36:53,22.8909,-109.9124,62.6,82,20,11.5
218,Taybad,IR,2021-01-29 15:36:53,34.74,60.7756,53.28,34,0,12.55
219,Provideniya,RU,2021-01-29 15:36:54,64.3833,-173.3,-9.42,82,98,7.72
220,Vila Franca Do Campo,PT,2021-01-29 15:36:54,37.7167,-25.4333,62.6,77,20,14.97
221,Lata,PT,2021-01-29 15:36:54,40.1629,-8.3327,59.0,87,83,1.01
222,Ust-Nera,RU,2021-01-29 15:36:54,64.5667,143.2,-16.22,79,100,2.37
223,Gat,IL,2021-01-29 15:34:01,31.61,34.7642,53.01,7,36,12.62
224,Umtata,ZA,2021-01-29 15:36:54,-31.5889,28.7844,77.0,61,20,11.5
225,Marovoay,MG,2021-01-29 15:36:55,-16.1,46.6333,82.4,78,40,8.05
226,Olafsvik,IS,2021-01-29 15:36:55,64.8945,-23.7142,34.7,85,100,5.17
227,Talavera,PH,2021-01-29 15:36:55,15.6167,120.9333,71.6,78,75,3.44
228,Chaoyang,CN,2021-01-29 15:36:55,41.5703,120.4586,15.93,78,0,4.97
229,Mayumba,GA,2021-01-29 15:36:55,-3.432,10.6554,81.36,78,100,7.54
230,Kununurra,AU,2021-01-29 15:36:56,-15.7667,128.7333,80.6,94,40,6.91
231,Okha,RU,2021-01-29 15:36:56,53.5739,142.9478,-1.79,92,100,10.16
232,Port Hawkesbury,CA,2021-01-29 15:33:39,45.6169,-61.3485,27.0,74,90,9.22
233,Basco,PH,2021-01-29 15:36:56,20.4487,121.9702,68.36,74,98,28.79
234,Byron Bay,AU,2021-01-29 15:36:56,-28.65,153.6167,69.8,88,40,2.3
235,Edd,ER,2021-01-29 15:36:56,13.9297,41.6925,81.77,41,0,21.3
236,Ngama,TD,2021-01-29 15:36:57,11.7833,17.1667,94.44,10,8,13.24
237,Imbituba,BR,2021-01-29 15:33:20,-28.24,-48.6703,82.4,74,20,8.05
238,Ostrovnoy,RU,2021-01-29 15:36:57,68.0531,39.5131,4.69,93,100,17.87
239,Port Blair,IN,2021-01-29 15:36:57,11.6667,92.75,79.54,83,88,7.52
240,Tahe,CN,2021-01-29 15:36:57,52.3333,124.7333,-29.04,83,95,2.19
241,Mehamn,NO,2021-01-29 15:36:57,71.0357,27.8492,23.0,68,75,17.27
242,Mosquera,CO,2021-01-29 15:36:57,4.7059,-74.2302,62.6,55,40,3.44
243,Namie,JP,2021-01-29 15:36:58,37.4833,141.0,34.0,32,0,3.0
244,Trat,TH,2021-01-29 15:36:58,12.5,102.5,74.01,71,0,0.72
245,Saquena,PE,2021-01-29 15:36:58,-4.6667,-73.5167,83.35,77,97,1.72
246,Phangnga,TH,2021-01-29 15:36:58,8.4509,98.5298,82.4,61,20,12.66
247,Cervo,ES,2021-01-29 15:36:58,43.6702,-7.4101,57.99,91,92,1.99
248,Ola,RU,2021-01-29 15:36:58,59.5833,151.2833,-15.59,81,87,10.92
249,Sinnamary,GF,2021-01-29 15:36:58,5.3833,-52.95,79.57,87,35,11.16
250,Boissevain,CA,2021-01-29 15:36:59,49.2306,-100.0559,17.01,100,90,16.11
251,Luderitz,NA,2021-01-29 15:36:59,-26.6481,15.1594,78.55,36,0,28.92
252,Los Llanos De Aridane,ES,2021-01-29 15:33:27,28.6585,-17.9182,69.8,78,0,4.61
253,Yerbogachen,RU,2021-01-29 15:36:59,61.2767,108.0108,-43.15,79,43,4.81
254,Ewa Beach,US,2021-01-29 15:36:59,21.3156,-158.0072,71.6,78,20,3.44
255,Bloomingdale,US,2021-01-29 15:36:59,27.8936,-82.2404,55.99,50,1,8.05
256,Lorengau,PG,2021-01-29 15:37:00,-2.0226,147.2712,82.72,77,29,10.0
257,Margate,GB,2021-01-29 15:37:00,51.3813,1.3862,50.0,73,46,3.0
258,Kidal,ML,2021-01-29 15:37:00,18.4411,1.4078,83.88,13,0,11.77
259,Ancud,CL,2021-01-29 15:37:01,-41.8697,-73.8203,66.99,55,40,13.8
260,Yangambi,CD,2021-01-29 15:37:01,0.8102,24.4336,85.24,60,100,1.19
261,Goma,CD,2021-01-29 15:37:01,-1.6792,29.2228,69.51,69,74,0.87
262,Cam Ranh,VN,2021-01-29 15:34:24,11.9214,109.1591,73.4,68,20,19.57
263,Aksu,CN,2021-01-29 15:37:01,41.1231,80.2644,20.62,80,0,1.86
264,Auka,HN,2021-01-29 15:37:02,14.9333,-83.8333,82.4,58,20,8.05
265,Moose Factory,CA,2021-01-29 15:37:02,51.2585,-80.6094,1.4,85,90,10.36
266,Nokia,FI,2021-01-29 15:37:02,61.4667,23.5,19.99,86,90,6.91
267,Kavaratti,IN,2021-01-29 15:37:02,10.5669,72.642,81.36,67,0,7.61
268,Kautokeino,NO,2021-01-29 15:37:03,69.0125,23.0412,-2.24,92,100,2.57
269,Deputatskiy,RU,2021-01-29 15:37:03,69.3,139.9,-32.8,86,100,1.92
270,Mandalgovi,MN,2021-01-29 15:37:03,45.7625,106.2708,15.46,89,50,12.26
271,Bage,BR,2021-01-29 15:37:03,-31.3314,-54.1069,80.6,74,75,12.66
272,Ca Mau,VN,2021-01-29 15:37:03,9.1769,105.15,73.94,78,90,6.96
273,Kaitangata,NZ,2021-01-29 15:37:03,-46.2817,169.8464,43.25,91,14,5.39
274,Lashio,MM,2021-01-29 15:37:03,22.9333,97.75,55.69,62,0,1.61
275,Presidencia Roque Saenz Pena,AR,2021-01-29 15:37:04,-26.7852,-60.4388,96.01,46,0,4.0
276,Kaeo,NZ,2021-01-29 15:37:04,-35.1,173.7833,55.0,87,1,1.99
277,Torbay,CA,2021-01-29 15:35:16,47.6666,-52.7314,28.0,86,90,9.22
278,Olinda,BR,2021-01-29 15:37:04,-8.0089,-34.8553,82.4,65,75,11.5
279,Port Hedland,AU,2021-01-29 15:37:04,-20.3167,118.5667,84.2,79,90,6.91
280,Char Bhadrasan,BD,2021-01-29 15:37:05,23.3167,90.2167,68.0,68,40,3.44
281,Santa Isabel Do Rio Negro,BR,2021-01-29 15:37:05,-0.4139,-65.0192,90.32,47,79,5.55
282,Matay,EG,2021-01-29 15:37:05,28.419,30.7792,55.83,42,0,8.48
283,Belyy Yar,RU,2021-01-29 15:37:05,53.6039,91.3903,26.6,74,0,4.47
284,Ketchikan,US,2021-01-29 15:35:17,55.3422,-131.6461,28.4,69,90,6.11
285,College,US,2021-01-29 15:37:05,64.8569,-147.8028,0.0,71,75,3.29
286,Hamilton,US,2021-01-29 15:37:06,39.1834,-84.5333,27.0,80,75,1.99
287,Teofilo Otoni,BR,2021-01-29 15:33:29,-17.8575,-41.5053,85.23,54,35,6.51
288,Saint-Joseph,RE,2021-01-29 15:37:06,-21.3667,55.6167,84.2,61,20,2.3
289,Minudasht,IR,2021-01-29 15:37:06,37.2289,55.3747,60.8,33,0,4.61
290,Mahon,ES,2021-01-29 15:36:09,39.8885,4.2658,66.2,59,0,6.91
291,Dir,PK,2021-01-29 15:37:06,35.2058,71.8756,37.47,55,0,8.41
292,Hirara,JP,2021-01-29 15:37:07,24.8,125.2833,59.56,67,100,18.97
293,Sussex,US,2021-01-29 15:37:07,41.1834,-74.6663,17.01,48,1,11.5
294,Kahta,TR,2021-01-29 15:37:07,37.7855,38.6237,37.4,100,75,18.41
