,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
340,Kuala Terengganu,MY,78.8,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
342,Wajir,KE,88.66,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
343,Cabedelo,BR,87.8,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
347,Sorong,ID,80.11,light rain,-0.8833,131.25,The Waigo Hotel
348,Siyabuswa,ZA,80.42,scattered clouds,-25.1132,29.0445,Uluju properties
353,Kokopo,PG,80.11,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
356,Natal,BR,87.8,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
359,Vao,NC,75.99,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
360,Coahuayana,MX,84.2,clear sky,18.7333,-103.6833,Hotel Los Arcos
366,Villa Bruzual,VE,93.34,few clouds,9.3328,-69.1208,Edificio Guarente
369,San Patricio,US,75.2,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
372,Antalaha,MG,79.05,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
375,Saint-Joseph,RE,80.6,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
376,Chimoio,MZ,77.0,scattered clouds,-19.1164,33.4833,Predio Livraria Ahmed
380,Port Blair,IN,79.68,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
382,Curuca,BR,80.62,moderate rain,-0.7289,-47.8481,Hotel Curuça
384,Kalmunai,LK,77.7,broken clouds,7.4167,81.8167,VS Villa
388,Vetapalem,IN,75.85,overcast clouds,15.7833,80.3167,Dasul Urdu Hostel
399,Black River,JM,84.99,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
401,Tonantins,BR,92.77,clear sky,-2.8731,-67.8022,Hotel Rei Davi
404,Saint-Pierre,RE,80.6,light rain,-21.3393,55.4781,Lindsey Hôtel
405,Quatre Cocos,MU,80.01,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
410,Luanda,AO,86.0,few clouds,-8.8368,13.2343,EPIC SANA Luanda
420,Trincomalee,LK,79.34,broken clouds,8.5711,81.2335,Welcombe Hotel
421,Saint-Georges,GD,86.0,broken clouds,12.0564,-61.7485,Siesta Hotel
422,Puerto Ayacucho,VE,92.1,clear sky,5.6639,-67.6236,Posada Turistica Manapiare
430,Inirida,CO,91.67,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
431,Alyangula,AU,80.6,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
438,Tecoanapa,MX,84.43,overcast clouds,16.5167,-98.75,Hotel Manglares
441,Mount Isa,AU,86.0,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
443,Katherine,AU,80.6,overcast clouds,-14.4667,132.2667,Pine Tree Motel
447,Tiruchchendur,IN,79.9,clear sky,8.4833,78.1167,Hotel Udhayam International
456,Fare,PF,80.85,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
462,Pedernales,DO,80.22,clear sky,18.0384,-71.744,Hotel Costa Marina
468,Harper,LR,81.84,light rain,4.375,-7.7169,Screensaver
471,Mitsamiouli,KM,82.54,scattered clouds,-11.3847,43.2844,Foyer ADM
475,Tabou,CI,81.05,moderate rain,4.423,-7.3528,hotêl doufoulougou
481,Tacarigua,VE,86.0,few clouds,10.0862,-67.9198,Posada Tacarigua C.A.
482,Mattru,SL,94.44,few clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
487,Najran,SA,75.2,clear sky,17.4924,44.1277,محمد هادي ال فطيح
490,Alofi,NU,75.2,light rain,-19.0595,-169.9187,Taloa Heights
492,Gizo,SB,83.68,broken clouds,-8.103,156.8419,Imagination Island
496,Kipini,KE,78.8,few clouds,-2.5257,40.5262,Delta Sea Mall
498,Banda Aceh,ID,77.47,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
503,Tevaitoa,PF,80.46,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
504,Barra Do Garcas,BR,89.89,scattered clouds,-15.89,-52.2567,Hotel Pousada Tropical
511,Tutoia,BR,89.6,few clouds,-2.7619,-42.2744,Pousada Guará's
513,Talara,PE,89.6,clear sky,-4.5772,-81.2719,Hostal Oro Negro
520,Benjamin Constant,BR,87.8,broken clouds,-4.3831,-70.0311,CASA AVALIADA
